,url,weekid,week_position,song,performer,performerGroup,songid,instance,previous_week_position,peak_position,weeks_on_chart,year,month,day,date,season,positionChangeWithinWeek,xmasDate,numberOfDaysToXmas,initialStartPosition,BeforeXmas,xmasInSong,all,decade,weekPosCat,weekPosCat50,weeksOnChartPerSeason,songnamelength,xmasInSongR,weeksOnChartPerSeasonR
0,http://www.billboard.com/charts/hot-100/2000-01-01,2000-01-01 00:00:00,53,THIS GIFT,98 Degrees,1,This Gift98 Degrees,1,,49,3,2000,1,1,2000-01-01,1999,0.0,1999-12-25,-7,53,0,False,,2000,2,0,3,9,0,1
1,http://www.billboard.com/charts/hot-100/2000-01-08,2000-08-01 00:00:00,49,THIS GIFT,98 Degrees,1,This Gift98 Degrees,1,53.0,49,3,2000,1,8,2000-01-08,1999,-4.0,1999-12-25,-14,0,0,False,,2000,2,0,3,9,0,1
2,http://www.billboard.com/charts/hot-100/2000-01-15,1/15/2000,79,THIS GIFT,98 Degrees,1,This Gift98 Degrees,1,49.0,49,3,2000,1,15,2000-01-15,1999,30.0,1999-12-25,-21,0,0,False,,2000,4,1,3,9,0,1
3,http://www.billboard.com/charts/hot-100/2006-12-09,2006-09-12 00:00:00,96,GREATEST TIME OF YEAR,Aly & AJ,1,Greatest Time Of YearAly & AJ,1,,96,1,2006,12,9,2006-12-09,2006,0.0,2006-12-25,16,96,1,False,,2000,4,1,1,21,0,0
4,http://www.billboard.com/charts/hot-100/2017-01-07,2017-07-01 00:00:00,48,IT'S THE MOST WONDERFUL TIME OF THE YEAR,Andy Williams,0,It's The Most Wonderful Time Of The YearAndy Williams,1,,48,1,2017,1,7,2017-01-07,2016,0.0,2016-12-25,-13,48,0,False,,2010,2,0,1,40,0,0
5,http://www.billboard.com/charts/hot-100/2013-12-07,2013-07-12 00:00:00,96,LAST CHRISTMAS,Ariana Grande,0,Last ChristmasAriana Grande,1,,96,1,2013,12,7,2013-12-07,2013,0.0,2013-12-25,18,96,1,True,,2010,4,1,1,14,1,0
6,http://www.billboard.com/charts/hot-100/2014-12-13,12/13/2014,65,SANTA TELL ME,Ariana Grande,0,Santa Tell MeAriana Grande,1,,42,5,2014,12,13,2014-12-13,2014,0.0,2014-12-25,12,65,1,False,,2010,3,1,5,13,0,2
7,http://www.billboard.com/charts/hot-100/2014-12-20,12/20/2014,92,SANTA TELL ME,Ariana Grande,0,Santa Tell MeAriana Grande,1,65.0,42,5,2014,12,20,2014-12-20,2014,27.0,2014-12-25,5,0,1,False,,2010,4,1,5,13,0,2
8,http://www.billboard.com/charts/hot-100/2014-12-27,12/27/2014,64,SANTA TELL ME,Ariana Grande,0,Santa Tell MeAriana Grande,1,92.0,42,5,2014,12,27,2014-12-27,2014,-28.0,2014-12-25,-2,0,0,False,,2010,3,1,5,13,0,2
9,http://www.billboard.com/charts/hot-100/2015-01-03,2015-03-01 00:00:00,42,SANTA TELL ME,Ariana Grande,0,Santa Tell MeAriana Grande,1,64.0,42,5,2015,1,3,2015-01-03,2014,-22.0,2014-12-25,-9,0,0,False,,2010,2,0,5,13,0,2
10,http://www.billboard.com/charts/hot-100/2015-01-10,2015-10-01 00:00:00,50,SANTA TELL ME,Ariana Grande,0,Santa Tell MeAriana Grande,1,42.0,42,5,2015,1,10,2015-01-10,2014,8.0,2014-12-25,-16,0,0,False,,2010,2,0,5,13,0,2
11,http://www.billboard.com/charts/hot-100/1984-12-22,12/22/1984,65,DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,1,Do They Know It's Christmas?Band-Aid,1,,13,9,1984,12,22,1984-12-22,1984,0.0,1984-12-25,3,65,1,True,,1980,3,1,6,28,1,2
12,http://www.billboard.com/charts/hot-100/1984-12-29,12/29/1984,65,DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,1,Do They Know It's Christmas?Band-Aid,1,65.0,13,9,1984,12,29,1984-12-29,1984,0.0,1984-12-25,-4,0,0,True,,1980,3,1,6,28,1,2
13,http://www.billboard.com/charts/hot-100/1985-01-05,1985-05-01 00:00:00,20,DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,1,Do They Know It's Christmas?Band-Aid,1,65.0,13,9,1985,1,5,1985-01-05,1984,-45.0,1984-12-25,-11,0,0,True,,1980,1,0,6,28,1,2
14,http://www.billboard.com/charts/hot-100/1985-01-12,1985-12-01 00:00:00,15,DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,1,Do They Know It's Christmas?Band-Aid,1,20.0,13,9,1985,1,12,1985-01-12,1984,-5.0,1984-12-25,-18,0,0,True,,1980,1,0,6,28,1,2
15,http://www.billboard.com/charts/hot-100/1985-01-19,1/19/1985,13,DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,1,Do They Know It's Christmas?Band-Aid,1,15.0,13,9,1985,1,19,1985-01-19,1984,-2.0,1984-12-25,-25,0,0,True,,1980,1,0,6,28,1,2
16,http://www.billboard.com/charts/hot-100/1985-01-26,1/26/1985,17,DO THEY KNOW IT'S CHRISTMAS?,Band-Aid,1,Do They Know It's Christmas?Band-Aid,1,13.0,13,9,1985,1,26,1985-01-26,1984,4.0,1984-12-25,-32,0,0,True,,1980,1,0,6,28,1,2
17,http://www.billboard.com/charts/hot-100/1958-12-20,12/20/1958,86,WHITE CHRISTMAS,Bing Crosby,0,White ChristmasBing Crosby,1,,12,13,1958,12,20,1958-12-20,1958,0.0,1958-12-25,5,86,1,True,,1950,4,1,2,15,1,1
18,http://www.billboard.com/charts/hot-100/1958-12-27,12/27/1958,66,WHITE CHRISTMAS,Bing Crosby,0,White ChristmasBing Crosby,1,86.0,12,13,1958,12,27,1958-12-27,1958,-20.0,1958-12-25,-2,0,0,True,,1950,3,1,2,15,1,1
19,http://www.billboard.com/charts/hot-100/1959-12-26,12/26/1959,59,WHITE CHRISTMAS,Bing Crosby,0,White ChristmasBing Crosby,2,,12,13,1959,12,26,1959-12-26,1959,0.0,1959-12-25,-1,59,0,True,,1950,3,1,1,15,1,0
20,http://www.billboard.com/charts/hot-100/1960-12-10,1960-10-12 00:00:00,55,WHITE CHRISTMAS,Bing Crosby,0,White ChristmasBing Crosby,3,,12,13,1960,12,10,1960-12-10,1960,0.0,1960-12-25,15,55,1,True,,1960,2,0,3,15,1,1
21,http://www.billboard.com/charts/hot-100/1960-12-17,12/17/1960,64,SILENT NIGHT,Bing Crosby,0,Silent NightBing Crosby,1,,54,2,1960,12,17,1960-12-17,1960,0.0,1960-12-25,8,64,1,False,,1960,3,1,2,12,0,1
22,http://www.billboard.com/charts/hot-100/1960-12-17,12/17/1960,32,WHITE CHRISTMAS,Bing Crosby,0,White ChristmasBing Crosby,3,55.0,12,13,1960,12,17,1960-12-17,1960,-23.0,1960-12-25,8,0,1,True,,1960,1,0,3,15,1,1
23,http://www.billboard.com/charts/hot-100/1960-12-24,12/24/1960,26,WHITE CHRISTMAS,Bing Crosby,0,White ChristmasBing Crosby,3,32.0,12,13,1960,12,24,1960-12-24,1960,-6.0,1960-12-25,1,0,1,True,,1960,1,0,3,15,1,1
24,http://www.billboard.com/charts/hot-100/1960-12-24,12/24/1960,54,SILENT NIGHT,Bing Crosby,0,Silent NightBing Crosby,1,64.0,54,2,1960,12,24,1960-12-24,1960,-10.0,1960-12-25,1,0,1,False,,1960,2,0,2,12,0,1
25,http://www.billboard.com/charts/hot-100/1961-12-09,1961-09-12 00:00:00,66,WHITE CHRISTMAS,Bing Crosby,0,White ChristmasBing Crosby,4,,12,13,1961,12,9,1961-12-09,1961,0.0,1961-12-25,16,66,1,True,,1960,3,1,5,15,1,2
26,http://www.billboard.com/charts/hot-100/1961-12-16,12/16/1961,33,WHITE CHRISTMAS,Bing Crosby,0,White ChristmasBing Crosby,4,66.0,12,13,1961,12,16,1961-12-16,1961,-33.0,1961-12-25,9,0,1,True,,1960,1,0,5,15,1,2
27,http://www.billboard.com/charts/hot-100/1961-12-23,12/23/1961,20,WHITE CHRISTMAS,Bing Crosby,0,White ChristmasBing Crosby,4,33.0,12,13,1961,12,23,1961-12-23,1961,-13.0,1961-12-25,2,0,1,True,,1960,1,0,5,15,1,2
28,http://www.billboard.com/charts/hot-100/1961-12-30,12/30/1961,12,WHITE CHRISTMAS,Bing Crosby,0,White ChristmasBing Crosby,4,20.0,12,13,1961,12,30,1961-12-30,1961,-8.0,1961-12-25,-5,0,0,True,,1960,1,0,5,15,1,2
29,http://www.billboard.com/charts/hot-100/1962-01-06,1962-06-01 00:00:00,12,WHITE CHRISTMAS,Bing Crosby,0,White ChristmasBing Crosby,4,20.0,12,13,1962,1,6,1962-01-06,1961,-8.0,1961-12-25,-12,0,0,True,,1960,1,0,5,15,1,2
30,http://www.billboard.com/charts/hot-100/1962-12-15,12/15/1962,70,WHITE CHRISTMAS,Bing Crosby,0,White ChristmasBing Crosby,5,,12,13,1962,12,15,1962-12-15,1962,0.0,1962-12-25,10,70,1,True,,1960,3,1,3,15,1,1
31,http://www.billboard.com/charts/hot-100/1962-12-22,12/22/1962,46,WHITE CHRISTMAS,Bing Crosby,0,White ChristmasBing Crosby,5,70.0,12,13,1962,12,22,1962-12-22,1962,-24.0,1962-12-25,3,0,1,True,,1960,2,0,3,15,1,1
32,http://www.billboard.com/charts/hot-100/1962-12-29,12/29/1962,38,WHITE CHRISTMAS,Bing Crosby,0,White ChristmasBing Crosby,5,46.0,12,13,1962,12,29,1962-12-29,1962,-8.0,1962-12-25,-4,0,0,True,,1960,1,0,3,15,1,1
33,http://www.billboard.com/charts/hot-100/1962-12-08,1962-08-12 00:00:00,80,MONSTERS' HOLIDAY,"Bobby ""Boris"" Pickett And The Crypt-Kickers",1,"Monsters' HolidayBobby ""Boris"" Pickett And The Crypt-Kickers",1,,30,6,1962,12,8,1962-12-08,1962,0.0,1962-12-25,17,80,1,False,,1960,4,1,6,17,0,2
34,http://www.billboard.com/charts/hot-100/1962-12-15,12/15/1962,57,MONSTERS' HOLIDAY,"Bobby ""Boris"" Pickett And The Crypt-Kickers",1,"Monsters' HolidayBobby ""Boris"" Pickett And The Crypt-Kickers",1,80.0,30,6,1962,12,15,1962-12-15,1962,-23.0,1962-12-25,10,0,1,False,,1960,2,0,6,17,0,2
35,http://www.billboard.com/charts/hot-100/1962-12-22,12/22/1962,40,MONSTERS' HOLIDAY,"Bobby ""Boris"" Pickett And The Crypt-Kickers",1,"Monsters' HolidayBobby ""Boris"" Pickett And The Crypt-Kickers",1,57.0,30,6,1962,12,22,1962-12-22,1962,-17.0,1962-12-25,3,0,1,False,,1960,2,0,6,17,0,2
36,http://www.billboard.com/charts/hot-100/1962-12-29,12/29/1962,31,MONSTERS' HOLIDAY,"Bobby ""Boris"" Pickett And The Crypt-Kickers",1,"Monsters' HolidayBobby ""Boris"" Pickett And The Crypt-Kickers",1,40.0,30,6,1962,12,29,1962-12-29,1962,-9.0,1962-12-25,-4,0,0,False,,1960,1,0,6,17,0,2
37,http://www.billboard.com/charts/hot-100/1963-01-05,1963-05-01 00:00:00,30,MONSTERS' HOLIDAY,"Bobby ""Boris"" Pickett And The Crypt-Kickers",1,"Monsters' HolidayBobby ""Boris"" Pickett And The Crypt-Kickers",1,31.0,30,6,1963,1,5,1963-01-05,1962,-1.0,1962-12-25,-11,0,0,False,,1960,1,0,6,17,0,2
38,http://www.billboard.com/charts/hot-100/1963-01-12,1963-12-01 00:00:00,39,MONSTERS' HOLIDAY,"Bobby ""Boris"" Pickett And The Crypt-Kickers",1,"Monsters' HolidayBobby ""Boris"" Pickett And The Crypt-Kickers",1,30.0,30,6,1963,1,12,1963-01-12,1962,9.0,1962-12-25,-18,0,0,False,,1960,2,0,6,17,0,2
39,http://www.billboard.com/charts/hot-100/1960-12-17,12/17/1960,89,CHRISTMAS AULD LANG SYNE,Bobby Darin,0,Christmas Auld Lang SyneBobby Darin,1,,51,3,1960,12,17,1960-12-17,1960,0.0,1960-12-25,8,89,1,True,,1960,4,1,3,24,1,1
40,http://www.billboard.com/charts/hot-100/1960-12-24,12/24/1960,95,CHILD OF GOD,Bobby Darin,0,Child Of GodBobby Darin,1,,95,1,1960,12,24,1960-12-24,1960,0.0,1960-12-25,1,95,1,False,,1960,4,1,1,12,0,0
41,http://www.billboard.com/charts/hot-100/1960-12-24,12/24/1960,58,CHRISTMAS AULD LANG SYNE,Bobby Darin,0,Christmas Auld Lang SyneBobby Darin,1,89.0,51,3,1960,12,24,1960-12-24,1960,-31.0,1960-12-25,1,0,1,True,,1960,2,0,3,24,1,1
42,http://www.billboard.com/charts/hot-100/1960-12-31,12/31/1960,51,CHRISTMAS AULD LANG SYNE,Bobby Darin,0,Christmas Auld Lang SyneBobby Darin,1,58.0,51,3,1960,12,31,1960-12-31,1960,-7.0,1960-12-25,-6,0,0,True,,1960,2,0,3,24,1,1
43,http://www.billboard.com/charts/hot-100/1958-12-20,12/20/1958,57,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,1,,29,19,1958,12,20,1958-12-20,1958,0.0,1958-12-25,5,57,1,False,,1950,2,0,4,16,0,1
44,http://www.billboard.com/charts/hot-100/1958-12-27,12/27/1958,35,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,1,57.0,29,19,1958,12,27,1958-12-27,1958,-22.0,1958-12-25,-2,0,0,False,,1950,1,0,4,16,0,1
45,http://www.billboard.com/charts/hot-100/1959-01-03,1959-03-01 00:00:00,45,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,1,35.0,29,19,1959,1,3,1959-01-03,1958,10.0,1958-12-25,-9,0,0,False,,1950,2,0,4,16,0,1
46,http://www.billboard.com/charts/hot-100/1959-01-10,1959-10-01 00:00:00,70,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,1,45.0,29,19,1959,1,10,1959-01-10,1958,25.0,1958-12-25,-16,0,0,False,,1950,3,1,4,16,0,1
47,http://www.billboard.com/charts/hot-100/1960-12-10,1960-10-12 00:00:00,69,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,2,,29,19,1960,12,10,1960-12-10,1960,0.0,1960-12-25,15,69,1,False,,1960,3,1,3,16,0,1
48,http://www.billboard.com/charts/hot-100/1960-12-17,12/17/1960,46,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,2,69.0,29,19,1960,12,17,1960-12-17,1960,-23.0,1960-12-25,8,0,1,False,,1960,2,0,3,16,0,1
49,http://www.billboard.com/charts/hot-100/1960-12-24,12/24/1960,36,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,2,46.0,29,19,1960,12,24,1960-12-24,1960,-10.0,1960-12-25,1,0,1,False,,1960,1,0,3,16,0,1
50,http://www.billboard.com/charts/hot-100/1961-12-09,1961-09-12 00:00:00,68,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,3,,29,19,1961,12,9,1961-12-09,1961,0.0,1961-12-25,16,68,1,False,,1960,3,1,5,16,0,2
51,http://www.billboard.com/charts/hot-100/1961-12-16,12/16/1961,58,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,3,68.0,29,19,1961,12,16,1961-12-16,1961,-10.0,1961-12-25,9,0,1,False,,1960,2,0,5,16,0,2
52,http://www.billboard.com/charts/hot-100/1961-12-23,12/23/1961,49,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,3,58.0,29,19,1961,12,23,1961-12-23,1961,-9.0,1961-12-25,2,0,1,False,,1960,2,0,5,16,0,2
53,http://www.billboard.com/charts/hot-100/1961-12-30,12/30/1961,41,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,3,49.0,29,19,1961,12,30,1961-12-30,1961,-8.0,1961-12-25,-5,0,0,False,,1960,2,0,5,16,0,2
54,http://www.billboard.com/charts/hot-100/1962-01-06,1962-06-01 00:00:00,41,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,3,49.0,29,19,1962,1,6,1962-01-06,1961,-8.0,1961-12-25,-12,0,0,False,,1960,2,0,5,16,0,2
55,http://www.billboard.com/charts/hot-100/1962-12-08,1962-08-12 00:00:00,99,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,4,,29,19,1962,12,8,1962-12-08,1962,0.0,1962-12-25,17,99,1,False,,1960,4,1,4,16,0,1
56,http://www.billboard.com/charts/hot-100/1962-12-15,12/15/1962,87,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,4,99.0,29,19,1962,12,15,1962-12-15,1962,-12.0,1962-12-25,10,0,1,False,,1960,4,1,4,16,0,1
57,http://www.billboard.com/charts/hot-100/1962-12-22,12/22/1962,59,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,4,87.0,29,19,1962,12,22,1962-12-22,1962,-28.0,1962-12-25,3,0,1,False,,1960,3,1,4,16,0,1
58,http://www.billboard.com/charts/hot-100/1962-12-29,12/29/1962,56,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,4,59.0,29,19,1962,12,29,1962-12-29,1962,-3.0,1962-12-25,-4,0,0,False,,1960,2,0,4,16,0,1
59,http://www.billboard.com/charts/hot-100/2016-01-09,2016-09-01 00:00:00,47,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,5,,29,19,2016,1,9,2016-01-09,2015,0.0,2015-12-25,-15,47,0,False,,2010,2,0,1,16,0,0
60,http://www.billboard.com/charts/hot-100/2016-12-24,12/24/2016,35,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,6,,29,19,2016,12,24,2016-12-24,2016,0.0,2016-12-25,1,35,1,False,,2010,1,0,3,16,0,1
61,http://www.billboard.com/charts/hot-100/2016-12-31,12/31/2016,46,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,6,35.0,29,19,2016,12,31,2016-12-31,2016,11.0,2016-12-25,-6,0,0,False,,2010,2,0,3,16,0,1
62,http://www.billboard.com/charts/hot-100/2017-01-07,2017-07-01 00:00:00,29,JINGLE BELL ROCK,Bobby Helms,0,Jingle Bell RockBobby Helms,6,46.0,29,19,2017,1,7,2017-01-07,2016,-17.0,2016-12-25,-13,0,0,False,,2010,1,0,3,16,0,1
63,http://www.billboard.com/charts/hot-100/1961-12-09,1961-09-12 00:00:00,71,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,1,Jingle Bell RockBobby Rydell/Chubby Checker,1,,21,7,1961,12,9,1961-12-09,1961,0.0,1961-12-25,16,71,1,False,,1960,3,1,6,16,0,2
64,http://www.billboard.com/charts/hot-100/1961-12-16,12/16/1961,45,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,1,Jingle Bell RockBobby Rydell/Chubby Checker,1,71.0,21,7,1961,12,16,1961-12-16,1961,-26.0,1961-12-25,9,0,1,False,,1960,2,0,6,16,0,2
65,http://www.billboard.com/charts/hot-100/1961-12-23,12/23/1961,27,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,1,Jingle Bell RockBobby Rydell/Chubby Checker,1,45.0,21,7,1961,12,23,1961-12-23,1961,-18.0,1961-12-25,2,0,1,False,,1960,1,0,6,16,0,2
66,http://www.billboard.com/charts/hot-100/1961-12-30,12/30/1961,21,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,1,Jingle Bell RockBobby Rydell/Chubby Checker,1,27.0,21,7,1961,12,30,1961-12-30,1961,-6.0,1961-12-25,-5,0,0,False,,1960,1,0,6,16,0,2
67,http://www.billboard.com/charts/hot-100/1962-01-06,1962-06-01 00:00:00,21,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,1,Jingle Bell RockBobby Rydell/Chubby Checker,1,27.0,21,7,1962,1,6,1962-01-06,1961,-6.0,1961-12-25,-12,0,0,False,,1960,1,0,6,16,0,2
68,http://www.billboard.com/charts/hot-100/1962-01-13,1/13/1962,23,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,1,Jingle Bell RockBobby Rydell/Chubby Checker,1,21.0,21,7,1962,1,13,1962-01-13,1961,2.0,1961-12-25,-19,0,0,False,,1960,1,0,6,16,0,2
69,http://www.billboard.com/charts/hot-100/1962-12-15,12/15/1962,97,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,1,Jingle Bell RockBobby Rydell/Chubby Checker,2,,21,7,1962,12,15,1962-12-15,1962,0.0,1962-12-25,10,97,1,False,,1960,4,1,2,16,0,1
70,http://www.billboard.com/charts/hot-100/1962-12-22,12/22/1962,92,JINGLE BELL ROCK,Bobby Rydell/Chubby Checker,1,Jingle Bell RockBobby Rydell/Chubby Checker,2,97.0,21,7,1962,12,22,1962-12-22,1962,-5.0,1962-12-25,3,0,1,False,,1960,4,1,2,16,0,1
71,http://www.billboard.com/charts/hot-100/1993-12-11,1993-11-12 00:00:00,66,LET IT SNOW,Boyz II Men,1,Let It SnowBoyz II Men,1,,32,7,1993,12,11,1993-12-11,1993,0.0,1993-12-25,14,66,1,False,,1990,3,1,7,11,0,2
72,http://www.billboard.com/charts/hot-100/1993-12-18,12/18/1993,65,LET IT SNOW,Boyz II Men,1,Let It SnowBoyz II Men,1,66.0,32,7,1993,12,18,1993-12-18,1993,-1.0,1993-12-25,7,0,1,False,,1990,3,1,7,11,0,2
73,http://www.billboard.com/charts/hot-100/1993-12-25,12/25/1993,53,LET IT SNOW,Boyz II Men,1,Let It SnowBoyz II Men,1,65.0,32,7,1993,12,25,1993-12-25,1993,-12.0,1993-12-25,0,0,1,False,,1990,2,0,7,11,0,2
74,http://www.billboard.com/charts/hot-100/1994-01-01,1994-01-01 00:00:00,43,LET IT SNOW,Boyz II Men,1,Let It SnowBoyz II Men,1,53.0,32,7,1994,1,1,1994-01-01,1993,-10.0,1993-12-25,-7,0,0,False,,1990,2,0,7,11,0,2
75,http://www.billboard.com/charts/hot-100/1994-01-08,1994-08-01 00:00:00,32,LET IT SNOW,Boyz II Men,1,Let It SnowBoyz II Men,1,43.0,32,7,1994,1,8,1994-01-08,1993,-11.0,1993-12-25,-14,0,0,False,,1990,1,0,7,11,0,2
76,http://www.billboard.com/charts/hot-100/1994-01-15,1/15/1994,60,LET IT SNOW,Boyz II Men,1,Let It SnowBoyz II Men,1,32.0,32,7,1994,1,15,1994-01-15,1993,28.0,1993-12-25,-21,0,0,False,,1990,3,1,7,11,0,2
77,http://www.billboard.com/charts/hot-100/1994-01-22,1/22/1994,87,LET IT SNOW,Boyz II Men,1,Let It SnowBoyz II Men,1,60.0,32,7,1994,1,22,1994-01-22,1993,27.0,1993-12-25,-28,0,0,False,,1990,4,1,7,11,0,2
78,http://www.billboard.com/charts/hot-100/1960-12-10,1960-10-12 00:00:00,64,ROCKIN' AROUND THE CHRISTMAS TREE,Brenda Lee,0,Rockin' Around The Christmas TreeBrenda Lee,1,,14,18,1960,12,10,1960-12-10,1960,0.0,1960-12-25,15,64,1,True,,1960,3,1,4,33,1,1
